epoch,acc,loss,val_acc,val_loss
0,0.9180377750895744,0.2720384463321331,0.9249999810148168,0.2317228838801384
1,0.9244040500286014,0.23996948759223138,0.926215261220932,0.23037096278534996
2,0.9244549207909163,0.2381712702124618,0.9263165339275643,0.23056398111361046
3,0.9248182890027068,0.23487975687481635,0.9259982385017254,0.22286654732845448
4,0.9258212036864703,0.22493514432463535,0.9269675733866515,0.2140548472051267
5,0.9264062343641769,0.2176721945751545,0.9301504492759705,0.2098564930536129
6,0.9271402439405751,0.21228535251561986,0.9312644567754533,0.19818514199168594
7,0.9292296359705371,0.20589649878269017,0.9312933893115433,0.1959322307396818
8,0.9314207728518996,0.19934496436008187,0.9334490619323872,0.18928254257749627
9,0.932565388568612,0.19240335323089777,0.9345485932297177,0.18182750349795376
10,0.934018879990245,0.18674305538798489,0.9350549556590892,0.1796941986238515
11,0.9356903949449229,0.18067597947841466,0.9368923483071504,0.17709134298342247
12,0.936631526503452,0.17656137797721597,0.9388744113621889,0.17025905709575723
13,0.9379542020864264,0.17114277253317278,0.9400462916603795,0.16462414822092764
14,0.9391824015351229,0.164445082254188,0.9412326271887179,0.15902645334049506
15,0.9422419974970263,0.15546463138835376,0.9440393403724388,0.15502971521130315
16,0.9453815329906552,0.1441667953895968,0.9459635350439284,0.14591067532698312
17,0.9490479549696279,0.1334649085305458,0.947902191568304,0.13531568591241483
18,0.9530559531477995,0.12190552322670471,0.9594328646306638,0.10531010547721828
19,0.9568386601847272,0.10985137733609178,0.966290510363049,0.08656600324643983
20,0.9620457834975664,0.09722334865567296,0.9741464202050809,0.0706499361053661
21,0.966497095241103,0.08525704784795296,0.9751012833030136,0.0669523456858264
22,0.9713226817375006,0.07411907507583153,0.9785590370496114,0.05862250537784011
23,0.9758139610290527,0.06343858084359834,0.9780237365652014,0.06037172833802523
24,0.9792550954707834,0.05468453486818214,0.9851273254111961,0.04538476881053713
25,0.9812936139661212,0.04934806852319906,0.9887442180403957,0.03331303279157038
26,0.9840988433638285,0.042287101336689885,0.9932725650292856,0.02253374914397244
27,0.9854215167289556,0.038328702617869824,0.9945023070882868,0.018482932855409605
28,0.9871584329494211,0.03452403943899066,0.9958188566896651,0.014301355790208888
29,0.9890297959017199,0.029979023917816407,0.996918397921103,0.011077563614687987
30,0.9899055228676907,0.026896787495460622,0.9965133048869945,0.011013650231891207
31,0.9911119153333264,0.023921589453726314,0.9959490685551254,0.012325070927747421
32,0.9913081390913143,0.023826412228477555,0.9966869188679589,0.01066291969942136
33,0.9920058125673339,0.022582944296300412,0.9941550857490964,0.016147669266771386
34,0.9927507209223371,0.019352624240482962,0.9978443273791561,0.0074334830752815365
35,0.993212203924046,0.018797547058310618,0.9972945573153319,0.008481907231422761
36,0.9934810957243276,0.018217804694418298,0.9975694428991388,0.008353490149602294
37,0.9943822611209958,0.016392184962886712,0.9983796333825147,0.005633777248914595
38,0.9946874937345815,0.01509330093557405,0.9984664409248917,0.00548616881672017
39,0.9945857458336409,0.015244763574108134,0.9980179435676999,0.006559772861052166
40,0.9949200502661771,0.014273534442276456,0.9978443295867355,0.006811626117538523
41,0.9949781878049984,0.014126148902226326,0.9986545211739011,0.004676562809402606
42,0.9954651078512502,0.012930090043173973,0.9992187552981906,0.003382465983223584
43,0.9954396735790164,0.013336476481108125,0.9988136622640822,0.004617501474934182
44,0.9956213618433752,0.01264611384506489,0.9992910965725228,0.003330811181243647
45,0.9956104561339977,0.012308130416542638,0.9992621596212741,0.0033565737798603047
46,0.9960537741350574,0.011494089324612084,0.9993923670715756,0.0020792089807973417
47,0.9959156890248143,0.011598086071222327,0.9994647050345385,0.0020962816078853967
48,0.996140980997751,0.01118997263310607,0.9995225723142978,0.002228660699782065
49,0.996010163218476,0.011370982111669904,0.999754054678811,0.0011882253575431943
